transaction_id,timestamp,location,product_id,quantity,revenue,payment_method,loyalty_member
1000,2025-11-10 06:05:00,Downtown,106,1.0,9.76,Credit,False
1001,2025-11-10 06:23:00,Downtown,104,1.0,2.76,Mobile,False
1003,2025-11-10 06:49:00,Downtown,112,2.0,7.54,Credit,False
1002,2025-11-10 06:59:00,Downtown,115,1.0,12.1,Mobile,True
1010,2025-11-10 07:04:00,Campus,103,1.0,4.39,Mobile,False
1015,2025-11-10 07:05:00,Campus,102,1.0,3.67,Credit,False
1012,2025-11-10 07:12:00,Downtown,105,1.0,3.93,Mobile,False
1007,2025-11-10 07:14:00,Downtown,111,1.0,4.08,Mobile,False
1009,2025-11-10 07:20:00,Downtown,112,1.0,3.95,Credit,False
1008,2025-11-10 07:36:00,Downtown,104,1.0,2.94,Mobile,False
1016,2025-11-10 07:37:00,Downtown,105,1.0,4.36,Credit,False
1017,2025-11-10 07:40:00,Campus,101,1.0,2.44,Credit,False
1011,2025-11-10 07:41:00,Campus,102,1.0,4.05,Cash,False
1014,2025-11-10 07:43:00,Suburb,107,1.0,1.71,Credit,False
1006,2025-11-10 07:44:00,Campus,101,1.0,2.73,Credit,False
1013,2025-11-10 07:51:00,Campus,101,1.0,2.86,Credit,True
1004,2025-11-10 07:57:00,Downtown,114,1.0,6.02,Credit,False
1005,2025-11-10 07:59:00,Downtown,102,1.0,5.01,Credit,False
1019,2025-11-10 08:01:00,Campus,102,1.0,3.92,Credit,False
1045,2025-11-10 08:08:00,Downtown,104,1.0,3.01,Credit,True
1043,2025-11-10 08:09:00,Campus,101,1.0,2.48,Cash,False
1026,2025-11-10 08:19:00,Campus,104,1.0,2.25,Credit,False
1029,2025-11-10 08:19:00,Campus,102,1.0,4.43,Mobile,False
1036,2025-11-10 08:19:00,Campus,104,1.0,2.04,Mobile,True
1034,2025-11-10 08:19:00,Campus,112,1.0,2.9,Mobile,True
1041,2025-11-10 08:21:00,Downtown,111,1.0,4.28,Credit,False
1024,2025-11-10 08:23:00,Downtown,103,2.0,11.57,Credit,True
1023,2025-11-10 08:24:00,Campus,102,1.0,3.72,Mobile,True
1033,2025-11-10 08:24:00,Campus,104,1.0,2.03,Mobile,False
